Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Anti-Anemic Effect of Antioxidant-Rich Apple Vinegar against Phenylhydrazine-Induced Hemolytic Anemia in Rats","Apple vinegar, rich in antioxidants, can potentially prevent hemolytic anemia caused by phenylhydrazine due to its ability to scavenge free radicals.","D. Ousaaid, A. E. Ghouizi, Hassan Laaroussi, Meryem Bakour, Hamza Mechchate, I. Es-safi, O. A. Kamaly, A. Saleh, Raffaele Conte, B. Lyoussi, Ilham El Arabi",2022,26,"This study aims to examine the ability of apple vinegar on phenylhydrazine (PHZ)-induced hemolytic anemia in Wistar rats. In vitro, phenolic and flavonoid content and antioxidant activity were determined. In vivo, phenylhydrazine (10 mg/kg) was injected intravenously into rats for 4 days and then treated with apple vinegar daily by gavage (1 mL/kg) for five weeks. high level of polyphenols and flavonoids (90 ± 1.66 mg GAE/100 mL and 7.29 ± 0.23 mg QE/100 mL, respectively) were found in the apple vinegar which gives it a good ability to scavenge free radicals (TAC = 4.22 ± 0.18 mg AAE/100 mL and DPPH, IC50 = 0.49 ± 0.004 µL/ml). The phytochemical composition of apple vinegar revealed the presence of numerous bioactive compounds including arbutin, apigenin, sinapic, ferulic and trans-ferulic acids. The major antioxidant components in apple vinegar were ferulic and trans-ferulic acids (40% and 43%, respectively). PHZ treatment induced changes in platelets, blood cell count, mean corpuscular volume, hemoglobin concentration and mean capsulated hemoglobin. However, the co-administration of apple vinegar revealed its capacity to ameliorate the changes induced by phenylhydrazine. Therefore, apple vinegar use could have a positive impact on the prevention of hemolytic anemia induced by phenylhydrazine due to the antioxidant properties of its major components.","non-randomized experimental study","Life","1","10.3390/life12020239","https://consensus.app/papers/antianemic-effect-of-antioxidantrich-apple-vinegar-ousaaid-ghouizi/0523d2015ade5afeb6149075fa64d1ac/"
"Jatropha tanjorensis Euphorbiaceae Ethanolic Leaves Extract Reverses Phenylhydrazine Induced Haematological Alterations in Albino Wistar Rats","Jatropha tanjorensis Euphorbiaceae ethanolic leaves extract demonstrated antioxidant, anti-inflammatory, and anti-thrombotic effects, reversing haematological alterations caused by phenylhydrazine administration in albino Wistar rats.","E. Umoren, I. Okon, C. Nyenke, E. Modo, N. Amadi, P. I. Brown",2023,1,"Introduction: Phenylhydrazine has been used in many studies to evaluate its modulatory effects in various biochemical parameters in whole blood and red blood cell lysate. Jatropha tanjorensis Euphorbiaceae have high antioxidants properties; its leaves phytochemical analysis shows the presence of flavonoids, tanins, terpenoids, saponis. This study investigated the ameliorative effects of Jatropha tanjorensis Euphorbiaceae on phenylhydrazine induced haematological alterations in albino Wistar rats.  
Materials and Methods: Wistar rats of both sexes (180-200g) were divided into 4 groups (n=5). Group 1 received rat chow; Group 2 received (200 mg/kg) of J. tanjorensis orally. Group 3 received phenylhydrazine only (10 mg/kg). Group 4 received phenylhydrazine (10 mg/kg) + J. tanjorensis (250 mg/kg). All animals were allowed free access to clean drinking water and normal rat chow ad libitum for 35 days. After which animals were sacrificed and blood samples collected for biochemical analysis. 
Results: Results obtained showed that phenylhydrazine induced normochromic anemia with significant increase in white blood cell count, and neutrophil counts, eosinophils (insignificant) count with a significant reduction in lymphocyte count. However, J. tanjorensis extract reversed the adverse haematological changes induced by phenylhydrazine. 
Conclusion: In conclusion, Jatropha tanjorensis Euphorbiaceae demonstrated antioxidant, anti-inflammatory, and anti-thrombotic effects and reversed the haematological alterations brought upon by phenylhydrazine administration.","","European Journal of Nutrition &amp; Food Safety","","10.9734/ejnfs/2023/v15i51309","https://consensus.app/papers/jatropha-tanjorensis-euphorbiaceae-ethanolic-leaves-umoren-okon/71c56bf507f45cf1bed45c9c3ba9bc0c/"
"Haematological and biochemical studies on Justicia carnea leaves extract in phenylhydrazine induced-anemia in albino rats.","Extracts of Justicia carnea leaves can reverse anemia and improve lipid profile in albino rats, potentially due to their rich phytochemical, nutrient, and vitamin composition.","C. Onyeabo, N. Achi, Chima A. Ekeleme-Egedigwe, C. Ebere, C. Okoro",2017,39,"Background: Justicia carnea is a medicinal plant used widely in Nigeria which is reported to have diverse functions, including blood-boosting potential. Aim. The effect of the ethanol extract of Justicea carnea (JC) leaves in phenylhydrazine induced-anemia albino rats on haematological and lipid profile parameters was investigated.

Methods: The experimental animals were randomly grouped into five groups of six rats each &ndash; group 1 (non-anemic control), group 2 (anemic control), group 3 (500 mg/kg of JC extract), group 4 (1000 mg/kg of JC extract) and group 5 (DMSO control). Phenylhydrazine was administered once at a dose of 80 mg/kg b.w.&nbsp; to induce hemolytic anemia. After 28 days of extract administration, they were humanely sacrificed and the serum collected was used for biochemical analysis.

Results: In the acute toxicity study, the LD50 was found to be above 5000 mg/kg body weight. Packed Cell Volume (PCV) values, Red Blood cell (RBC) and haemoglobin (Hb) concentrations decreased (p < 0.05) sig- nificantly after 48 hours of phenylhydrazine induction, but after 28 days of administering extracts of Justicia carnea, PCV values, RBC and Hb increased (p < 0.05) significantly. There were significant (p < 0.05) de- creases in cholesterol, triacylglycerol, and LDL cholesterol concentrations in the extract-administered groups (groups 3&4) relative to the anemic control. There was a significant (p < 0.05) increase in HDL-cholesterol concentrations in the extract groups (3&4) relative to the non-anemic control.

Conclusions: Extracts of Justicia carnea not only reversed anemic conditions in the phenylhydrazine-induced rats, it also improved the lipid profile, and this may be attributed to its rich phytochemical, nutrient and vita- min composition. Therefore, the findings of the study suggest that J. carnea leaves could be used to manage lipid abnormalities associated with anemia.","rct","Acta scientiarum polonorum. Technologia alimentaria","","10.17306/j.afs.0492","https://consensus.app/papers/haematological-and-biochemical-studies-on-justicia-onyeabo-achi/03a95d3dca73571eb89ff49cff407d68/"
"Influence of Combretum nigricans Hot Aqueous Extracts on Phenylhadrazine- Induced Hemolytic Anaemia in Wistar Rats","Combretum nigricans hot aqueous extracts can significantly reduce phenylhydrazine-induced anemia in rats, maintaining healthy red blood cell and platelet counts during anemia episodes.","J. G. Nangbes",2023,1,"Anaemia is a major health issue that affects many people, particularly in developing nations. In some cases of anemia, rural residents in the tropics have to rely on traditional remedies. The goal of this study was to determine Combretum nigricans’s hematinic capabilities. Using phenylhydrazine (PHZ)-induced anemia in rats, the aqueous extract (AE) of the bark was tested for haematinic effects. A total of twenty-eight (28) wistar albino rats of both sexes, weighing between 150 – 250g, were used for the experiment. Rats were randomly divided into seven groups (n = 4/group). Group I, served as the normal control (not infected) received the vehicle (10 ml/kg; Tween 20). Group II, served as positive control (infected but not treated) received no treatment, while groups III, IV, V, VI and VII received 100, 200, 300, 400 and 500 mg/kg of the aqueous extract (AE) respectively daily for two (2) weeks. As markers of anemia, blood parameters such as red blood cell (RBC) count and hemoglobin concentration (Hb) were measured. The results showed that oral treatment of AE (100-500 mg/kg/day) had a significant (P 0.05) haematinic effect by reducing the PHZ-induced drop in blood parameters such as Hb, PCV, and RBC. The potency of haematinicity was shown to be dose-dependent. These findings support the existence of haematinic components in C. nigricans bark and therefore can be used to maintain physiologically healthy RBC and PVC during anaemic episodes.","rct","OPSearch: American Journal of Open Research","2","10.58811/opsearch.v2i2.40","https://consensus.app/papers/influence-of-combretum-nigricans-hot-aqueous-extracts-on-nangbes/fadc3f573095574eb3de24acd0d63d04/"
"Niacin enhances erythropoiesis and attenuates oxidative stress and ferroptosis through the modulation of Nrf2/HO-1/GPX4 pathway in phenylhydrazine-induced hemolytic anemia in rats.","Niacin protects rats from hemolytic anemia by restoring blood parameters and promoting red blood cell survival, potentially serving as a potential treatment for oxidative stress, ferroptosis, and inflammation.","Muhammed Ramadan Galal, A. S. Mohamed, A. Baiomy, Shaymaa M. Eissa",2026,0,"","rct","The Journal of nutritional biochemistry","1","10.1016/j.jnutbio.2026.110392","https://consensus.app/papers/niacin-enhances-erythropoiesis-and-attenuates-oxidative-galal-mohamed/bd7964dc642e55f5a8390262ca39b19e/"
"ANTI-ANEMIC AND HISTOLOGY PROPERTIES OF HIBISCUS SABDARIFFA CALYX SUPPLEMENTED DIET IN PHENYLHYDRAZINE-INDUCED ANEMIA IN RATS","Dietary Hibiscus sabdariffa calyx supplementation significantly improves red blood cell count, hemoglobin, and packed cell volume in rats with phenylhydrazine-induced anemia, and shows hepatoprotective effects.","ADEROUNMU GANIYU IBRAHIM, ALIYU IBRAHIM, A. S. Idoko, BALKISU OYERONKE ABDULRAHMAN",2025,0,"Anemia is induced by oxidative stress and hemolysis, remains a major health concern. Hibiscus sabdariffa calyx is rich in anthocyanins and polyphenols with established antioxidant and hematopoietic potentials. This study investigated the anti-anemic and hepatoprotective effects of dietary Hibiscus sabdariffa calyx supplementation in phenylhydrazine-induced anemia in rats. Twenty-four adults male Wistar rats were divided into four groups (n = 4). Group I served as normal control; Group II received phenylhydrazine (PHZ; 12 mg/kg) to induce anemia; Groups III and IV were anemic rats fed 2% and 5% Hibicus sabdariffa calyx supplemented diets respectively, Treatments lasted six weeks post-induction. Hematological parameters were analyzed using an automated hematology analyzer, while liver and kidney tissues were examined histologically using hematoxylin and eosin staining. Penylhydrazine administration significantly (p < 0.05) reduced red blood cell count, hemoglobin, and packed cell volume compared to control. Supplementation with Hibiscus sabdariffa calyx significantly and dose-dependently improved these indices toward normal values. White blood cell and platelet counts were also normalized in treated groups. Histological examination revealed hepatocellular degeneration and necrosis in phenylhydrazine group, which were markedly ameliorated by Hibiscus sabdariffa supplementation, especially at 5% inclusion level, showing preserved hepatic architecture comparable to controls.","rct","International Journal of Organic and Medicinal Development Research","","10.70382/mejomdr.v10i3.011","https://consensus.app/papers/antianemic-and-histology-properties-of-hibiscus-ibrahim-ibrahim/da5b3c364ba15f2097b14b40fc2a4b5a/"
"Ameliorative effects of myricetin on phenylhydrazine-induced hemolytic anemia in rats: modulation of erythropoiesis, oxidative stress, inflammatory cytokines, and bone marrow architecture","Myricetin improves hematological and oxidative stress parameters, reduces inflammation, and promotes bone marrow function in rats with phenylhydrazine-induced hemolytic anemia.","F. Taresh, Zainab A. H.AL-Mousawi, B. Hassan",2025,0,"Background: Anemia is a clinical condition characterized by a reduction in the number of red blood cells and hemoglobin concentration in the blood to levels below the established normal range.Objective: Investigate the therapeutic effects of Myricetin on phenylhydrazine-induced hemolytic anemia in adult male rats.Methodology: Forty rats were randomly divided into four groups.Group I received normal saline orally.Group II consisted of anemic rats administered normal saline orally.Group III included anemic rats treated with Myricetin (1 mg/kg body weight, i.p., once daily), and Group IV comprised anemic rats treated with folic acid (1 mg/ kg body weight, orally, once daily).All treatments were continued for 30 consecutive days.Serum samples were collected on days 7, 15, and 30 and analyzed using ELISA to assess hematological, oxidative stress, and inflammatory biomarkers.Bone marrow biopsies were obtained on day 15 for histopathological evaluation.Results: Showed a significant, time-dependent improvement in key hematological and oxidative stress parameters, including erythropoietin, hepcidin, haptoglobin, glutathione, malondialdehyde, total antioxidant status, and catalase activity.Furthermore, Myricetin significantly reduced pro-inflammatory cytokines, particularly interferon-gamma and interleukin-10.Histopathological analysis demonstrated that Myricetin markedly improved bone marrow cellularity, especially in myeloid (granulocytes) and erythroid lineages.Conclusion: Myricetin exerts antioxidant, anti-inflammatory, and hematopoietic effects, thereby promoting physiological stability and facilitating the gradual recovery of bone marrow function and hematological balance.This highlights its potential as a natural therapeutic candidate for the management of hemolytic anemia.","rct","Journal of Applied Biological Chemistry","4","10.3839/jabc.2025.064","https://consensus.app/papers/ameliorative-effects-of-myricetin-on-taresh-hal-mousawi/2f8286fe9e4550afa45cfb0fd07cbf2b/"
"The physiological role of phytosomal curcumin to mitigate hemolytic anemia and cytogenic effect induced by phenylhydrazine in rats","Phytosomal curcumin effectively reduces hemolytic anemia and genotoxic effects caused by phenylhydrazine in rats, offering a potential new treatment approach for anemia.","A. Al-Yasari, Mohammed A. Aboktifa, Z. A. Ahmed, Hadeel S. Almaliki, Ruqaya K. Abbas, A. M. Jasim",2024,0,"We investigates the physiological efficacy of encapsulated curcumin in the treatment of adult Albino Wistar rats with phenylhydrazine (PHZ)-induced hemolytic anemia. Thirty adult male rats were employed in this investigation, and randomly parted into five groups. One was used as a negative control group (NCG) and fed on chow and water. Animals in the T1 group received an i.p PHZ (40mg/kg B.W) for two days; those in the T2 group received PHZ (40 mg/kg) and oral curcumin at 50 mg/kg daily for four weeks; and those in the T3 and T4 groups received PHZ (40 mg/kg) and phytosome-loaded curcumin at 25 & 50 mg/Kg daily for four weeks, respectively. All of the animals were sacrificed as the experimentation done. Haematological parameters were done for additional biochemical analyses. Analyses of cytogenic activity and hematological parameters were assessed. The current study shows that loaded curcumin on phytosomes with a sufficient polydisperssin index maintains the stability of phytosomes and exhibits a strong ability to attenuate anemic effects that were caused by phenyl hydrazine. This might hold out the possibility of developing a fresh approach to treating various forms of pathological and physiological anemia. Ultimately, we discovered that phytosom was easily loaded and enclosed within an appropriate size and shape. By enhancing hematological parameters in addition to its physiological role in reducing the genotoxic effect of phenylhyrazine, curcumin and its liposome are regarded as an effective treatment for anemia in rats.","rct","TRANSPORT, ECOLOGY, SUSTAINABLE DEVELOPMENT: EKO VARNA 2023","","10.1063/5.0191865","https://consensus.app/papers/the-physiological-role-of-phytosomal-curcumin-to-mitigate-al-yasari-aboktifa/dce7b3328f835612adb490b0a33b2df0/"
"The Effects of Sorghum bicolor Aqueous Leaf Sheaths Extract on Some Selected Biochemical Parameters of Phenylhydrazine-Induced Hemoltyic Anemic Male Wistar Rats","Sorghum bicolor extract shows potential in reducing bilirubin levels and increasing total protein levels in male Wistar rats with hemolytic anemia.","Olaitan Nugboton Samuel, Adebayo Seyi David, Ayoade Adekunle Abiodun, Olivia Cole O., Abdulkareem Teslim O.,",2021,218,"In this study the effect of Sorghum bicolor was tested on some selected biochemical parameters (direct, total and indirect billirubin, creatinine, total protein, serum albumin and urea) was appraised to determine if the plant extract can reverse the aberrance in the values of these parameters. Study design: 40 experimental animals were divvied into four groups and hemolytic anemia was induced in three of the groups with two of the groups given the herbal extract in varying degree (low and high dosage) to assess the efficacy of the drug on alleviating selected biochemical parameters, to ultimately investigate the curative effect of the botanical extract on hemolytic anemia. Place and Duration of Study: Cell and Tissue Culture Research Laboratory (Drug Discovery Unit), Department of Biochemistry, Lagos State University between September 2020 and October 2020. Methodology: 40 male Wistar rats were divvied into four equal groups: normal, anemic untreated, anemic low dosed and anemic high dosed. The low dosed and high dosed rats were given the extract at 100mg/kg and 500mg/kg respectively. After 7 days of extract administration, the rats were sacrificed and blood samples taken though heart puncture were centrifuged for sera which was assayed using Randox Laboratories kit. Result: The highest levels of bilirubin, creatinine and urea level and lowest levels of total protein and albumin were recorded in the untreated rats, indicating hemolysis. The treated rats recorded a significant dosedependent reduction in the bilirubin levels and a significant increase in the total protein levels of the two treated rats groups. Conclusion: this study revealed S. bicolor extract to be a potential amelioration of hemolytic anemia.","non-randomized experimental study","International Journal of Innovative Science and Research Technology (IJISRT)","","10.38124/ijisrt/ijisrt21aug651","https://consensus.app/papers/the-effects-of-sorghum-bicolor-aqueous-leaf-sheaths-samuel-david/cd5d7d655d46532881eeb1663eca2b78/"
"HEMATOLOGICAL PARAMETERS IN THE MODEL OF IRON DEFICIENCY AND HEMATOLOGICAL ANEMIA","The study developed experimental models of iron deficiency and hemolytic anemia in laboratory animals, revealing that both drugs increased blood cell numbers due to adaptation to their effects.","O. Kolenchukova, A. V. Kolomeytsev, A. V. Kireeva, E. Biryukova, Margarita V. Loshcareva, Evgeny V. Engevatkin",2022,2,"According to the World Health Organization, the most common (up to 90% of cases) hematological pathology is anemia, a condition characterized by a decrease in the level of hemoglobin in the blood due to a decrease in the total number of red blood cells or a violation of hemoglobin synthesis, which can have serious consequences for the body, such as decreased immunity, impaired respiratory and metabolic processes. Currently, it is necessary to improve the methods of prevention and treatment of anemia. To test new drugs for these purposes, it is necessary to create new models, including on laboratory animals. The aim of the study was to develop experimental models of iron deficiency (IDA) and hemolytic anemia (HA) on laboratory animals. The objects of the study were sexually mature male laboratory rats of the Wistar breed, aged 7 months and weighing 260 ± 20 g. 38 animals were involved in the experiment (for IDA n= 24, for HA n= 14). Laboratory animals were kept in the same external conditions for 3-4 individuals in a cage. To simulate IDA, rats were subcutaneously injected with the drug “Desferal”. To simulate GA, rats were intraperitoneally injected with the drug “Hydrochloric acid phenylhydrozine”. At each stage, blood was taken by cutting off the tip of the tail. A detailed blood test was performed on a hematological analyzer “Heska Element HT5”. As a result, it was found that when the drug “Desferal” was administered at concentrations of 125 and 250 mg / 100g per animal weight, hematological changes were observed in rats, such as an increase in red blood cells, platelets, leukocytes by stage 2 and a decrease to control values by stage 4. When the drug “Hydrochloric acid phenylhydrozine” was administered, hematological changes were detected in rats only within the experimental group. There was an increase in the indicators of erythrocytes, platelets, leukocytes by stages 2 and 3 and a decrease to control values by stage 4. Thus, when the studied drugs were administered in the presented dosages in vivo, a change in the hematological parameters of the blood was detected in the direction of an increase in their number due to adaptation to the effects of substances.","non-randomized experimental study","Siberian Journal of Life Sciences and Agriculture","3","10.12731/2658-6649-2022-14-6-142-156","https://consensus.app/papers/hematological-parameters-in-the-model-of-iron-deficiency-kolenchukova-kolomeytsev/8448f0d5da2156dfb334eb7ec1e00256/"
"Effect of Myricetin on some biochemical parameters in Hemolytic Anemic Male Rats","Myricetin shows potential as a natural therapeutic candidate for hemolytic anemia management by improving key hematological and inflammatory parameters in adult male rats.","F. Taresh",2026,0,"Hemolytic anemia (HA) is a group of diseases characterized by the accelerated destruction of red blood cells (RBCs), resulting in various clinical manifestations such as anemia and jaundice. This study aimed to investigate the ameliorative effects of Myricetin on phenylhydrazine (PHZ)-induced hemolytic anemia in adult male rats. Forty rats were randomly divided into four groups. Group I received normal saline orally. Group II consisted of anemic rats administered normal saline orally. Group III included anemic rats treated with Myricetin (1 mg/kg body weight, i.p, once daily), and Group IV comprised anemic rats treated with folic acid (1 mg/kg body weight, orally, once daily). All treatments were continued for 30 consecutive days. Serum samples were collected on days 7, 15, and 30 and analyzed using biochemistry analyzer to assess hematological, inflammatory biomarkers. The results showed a significant, time-dependent improvement in key hematological and inflammatory parameters, including Ferritin, Serum Iron, Lactate dehydrogenase (LDH), C-Reactive Protein (CRP), and Indirect bilirubin. Collectively, these findings suggest that Myricetin may exert antioxidant, anti-inflammatory effects , that contribute to hematological improvement. This highlights its potential as a natural therapeutic candidate for the management of hemolytic anemia.","rct","Basrah Journal of Veterinary Research","","10.23975/bjvr.2026.167612.1267","https://consensus.app/papers/effect-of-myricetin-on-some-biochemical-parameters-in-taresh/6c51c4e0fe24503a9603fe4d0c40dfc4/"
"Ocimum gratissimum leaf extract ameliorates phenylhydrazine-induced anaemia and toxicity in Wistar rats","Ocimum gratissimum leaf extract has a restorative effect on phenylhydrazine-induced anaemia and toxicity in rats, potentially acting as an anti-anaemic tonic.","E. Akara, Okezie Emmanuel, V. Ude, C. Uche-Ikonne, Godswill Eke, E. Ugbogu",2021,22,"Objectives: Ocimum gratissimum L. is used in traditional medicine for the treatment of bacterial infections and anaemia. This study was designed to evaluate the effect of O. gratissimum leaf extract on phenylhydrazine (PHZ)-induced anaemia and toxicity in rats.

Methods: The experimental rats were divided into five groups (A-E) (n=6/sex/group). Each rat in groups B-E was intraperitoneally administered 50 mg/kg of PHZ for two consecutive days. Group A (normal control) did not receive any PHZ, group B (negative control), group C received orally 5 mg/kg ferrous sulphate whereas groups D and E received 200 and 400 mg/kg O. gratissimum leaf extract respectively, for 14 days.

Results: Red blood cell count, packed cell volume, haemoglobin concentration and high-density lipoprotein increased significantly (p<0.05) whereas low-density lipoprotein and very-low-density lipoprotein decreased in extract-treated groups when compared to the negative control. O. gratissimum (400 mg/kg extract) and standard drug (5 mg/kg ferrous sulphate) significantly (p<0.05) reduced the levels of aspartate aminotransferase, alanine aminotransferase, and alkaline phosphatase.

Conclusions: The results of this study indicate that O. gratissimum leaf extract has a restorative effect on the phenylhydrazine-induced metabolic distortions in the blood, liver, and kidney, and therefore could be used therapeutically as an anti-anaemic tonic.

© 2021 Walter de Gruyter GmbH, Berlin/Boston.","rct","Drug Metabolism and Personalized Therapy","2","10.1515/dmpt-2020-0185","https://consensus.app/papers/ocimum-gratissimum-leaf-extract-ameliorates-akara-emmanuel/810df365691d5216b8ebd265d7f67ade/"
"Anti-Anemic Activity of Raphanus sativus Leaves on Phenylhydrazine Induced Anemia in Wistar Albino Rats","Ethanolic extract of Raphanus sativus leaves effectively increases red blood cell, hemoglobin, and hematocrit levels in Wistar albino rats with phenylhydrazine-induced anemia.","Gopalakrishnan P, Sakthi Abirami M, G. D, Vishnnu Raman E",2024,0,"- ""Raphanus sativus was chosen for this study based on literature reviews highlighting its various activities. This study aimed to evaluate the effect of an ethanolic extract of Raphanus sativus leaves on phenylhydrazine-induced anemia in Wistar albino rats by assessing hematological parameters and in vivo enzymatic antioxidant activity."" - ""Male Wistar albino rats were divided into five groups (n=6). Group I (normal control) received normal feed and water. Anemia was induced in Groups II-V by intraperitoneal administration of PHZ (40 mg/kg). Group II (negative control) received phenylhydrazine for two days. Group III (positive control) received hematinic syrup (0.68 ml/kg). Groups IV and V received 200 mg/kg and 400 mg/kg of the ethanolic extract of Raphanus sativus leaves, respectively, for 12 days."" The in-vivo anti-anemic activity was evaluated by measuring the biochemical, hematological parameters and RBC morphological microscopic examination. The enzymatic antioxidant potential was evaluated by superoxidase dismutase and glutathione peroxidase enzyme. The results were analysed using one-way ANOVA and p value were calculated to find the significance of the results. In-vivo antioxidant results showed that ethanolic extract of Raphanus sativus leaves had high anti-oxidant activity. The treatment with Ethanolic extract of Raphanus sativus leaves had been effective in increasing the count of RBC, Hemoglobin and hematocrit. There","rct","International Journal of Pharmacy and Pharmaceutical Research","","10.25166/ijppr.2024.30.5.41","https://consensus.app/papers/antianemic-activity-of-raphanus-sativus-leaves-on-p-m/7d41673d382a5509ab33c779df83aa38/"
"Anti-anaemic effects of leaf protein concentrate of Eremomastax speciosa (Hochst) Cufod. on some blood parameters of male Sprague-Dawley rats exposed to phenylhydrazine-induced anaemia","Leaf protein concentrate of Eremomastax speciosa (Hochst) Cufod effectively improves haematological and serum biochemical parameters in male Sprague-Dawley rats exposed to phenylhydrazine-induced anaemia compared to negative control.","C. O. Nwaigwe, C. U. Nwaigwe, U. Obiekwe, L. Raji",2023,1,"This study investigated the effects of leaf protein concentrate (LPC) of Eremomastax speciosa (Hochst.) Cufod on some haematological and serum profile of 45 male Sprague-Dawley rats divided into nine groups of five rats per group. The rats received fresh drinking water daily, with feed at 85% of ad-lib. The standard haematinic used was Ranferon-12®, at the dose of 0.3ml/kg body weight. The resultant groups were; Group1 (Positive control, received commercial feed) Group 2 (phenylhydrazine only or negative control), Group 3 (anaemia +haematinic), 4, 5 and 6 (anaemia +100 mg/kg, 200 mg/kg and 400 mg/kg of LPC respectively), Groups 7, 8, 9 (Untreated (or UT) +100 mg/kg, 200 mg/kg and 400 mg/kg of LPC respectively). The LPC was administered orally to the designated groups, while the controls received distilled water in place of the LPC. Anaemia was induced by intraperitoneal injection of phenylhydrazine at 40 mg/kg for 2 days. Samples for haematological and biochemical analysis were collected on days 9, 21 and 28 of the experiment. Results showed that the groups supplemented with LPC were better in terms of the haematology and serum biochemical values compared to the negative control, and this strongly supported the traditional use of E. speciosa leaf in the treatment of anaemia.","rct","Bio-Research","","10.4314/br.v21i3.13","https://consensus.app/papers/antianaemic-effects-of-leaf-protein-concentrate-of-nwaigwe-nwaigwe/081dc1d046665df5b34b0b8fedd8f604/"
"Evaluation of haematinic activity of Tapinanthus globiferus (A. Rich.) van Tiegh leaf extract and fractions in phenylhydrazine-induced anaemic rats","Tapinanthus globiferus leaf extract and fractions significantly increase packed cell volume, haemoglobin concentration, and red blood cell count in phenylhydrazine-induced anaemic rats within one week of treatment.","F. K. Asogwa, K. Okolo, Augustine Oluchukwu Asogwa, J. I. Ali, C. O. Ugwu, R. Offiah",2024,0,"Anaemia is a leading cause of morbidity and mortality in both males and females of all ages. Anaemia was induced by intraperitoneal (i.p.) administration of phenylhydrazine (60 mg/kg) for a period of 3 days. Anaemic rats were allotted to five (5) groups; group I served as the negative control, group II served as the positive control received Astyfer syrup (0.15 mg/kg p.o) , groups III-V served as the test groups that received Tapinanthus globiferus methanol extract, ethyl acetate and n-hexane fractions (100, 200 and 400 mg/kg, p.o.), respectively. Packed cell volume (PCV), haemoglobin concentration (HB) and red blood cell count (RBC) were analysed as indices of anaemia at 7-day intervals for 21 days. The mean cell volume (MCV) and mean cell haemoglobin concentration (MCHC) were calculated accordingly. Leaf extract and fractions of Tapinanthus globiferus significantly (P<0.001) increased the PCV, the HB concentration and the RBC, which had been originally decreased by phenylhydrazine (P<0.001) administration within one week of treatment. The extract and fractions were compared with rats administered with the positive and vehicle-treated group. The results suggested that Tapinanthus globiferus leaves have haematinicactivities.","rct","Journal of Pharmacy &amp; Bioresources","","10.4314/jpb.v21i2.2","https://consensus.app/papers/evaluation-of-haematinic-activity-of-tapinanthus-asogwa-okolo/7289178904325aada8641b96a9268f68/"
"Acute toxicity and effects of of Solanum macrocarpon leaf on Phenylhydrazine-induced haemolytic anaemia, blood glucose and Nephrotoxicity in Wistar rats","Solanum macrocarpon leaf extract effectively improves anaemia, electrolyte balance, and kidney damage caused by Phenylhydrazine in Wistar rats without causing death or toxicity.","Usunobun U, Okungbowa AI, Osaremhen EA, Ademuyiwa A",2026,0,"Background: A variety of toxic effects of the hydrazines have been described, including autoimmune disturbances in humans, human leukemogenesis, alterations in the liver, kidney, central nervous system. 
Aim: This study aimed to determine whether Solanum macrocarpon aqueous leaf extract protect against Phenylhydrazine-induced hemato-toxicity and nephrotoxicity in anaemic male wistar rats. 
Materials and Methods: Thirty adult male Wistar albino rats (180-200g) divided into five groups of six rats each were used for the study: Group 1 served as normal control and received normal saline orally once daily. Group II served as anaemic control while Group III received only 300mg/kg aqueous leaf extract of Solanum macrocarpon orally once daily for 14 days. Group IV rats were induced with anaemia and thereafter treated with 300mg/kg aqueous leaf extract of Solanum macrocarpon orally once daily for 14 days while Group V were induced with anaemia and thereafter treated with 100mg/kg Ascorbic acid orally once daily for 14 days. Group II, IV and V were intraperitoneally induced haemolytic anaemia with 50mg/kg Phenylhydrazine for three consecutive days. All rats were sacrificed 24 hr after last extract treatment. 
Results: Acute toxicity study showed LD50 to be above 5000mg/kg as there was neither mortality nor toxicity observed up to the last dose of 5000mg/kg. Electrolyte concentration showed a significant decrease (p<0.05) in sodium ion and an increase in potassium ion concentration in Phenylhydrazine-induced anaemic rats which were however improved towards normalcy by Solanum macrocarpon leaf extract. Solanum macrocarpon significantly enhanced (p<0.05) Red blood cells, packed cell volume, haemoglobin and platelet count; significantly decreased (p< 0.05) levels of creatinine and urea as well as maintained blood glucose levels corroborated by histopathological findings. 
Conclusion: This study established Solanum macrocarpon leaf potential in modulating Phenylhydrazine-induced anaemia, electrolyte balance and nephrotoxicity in wistar rats.","rct","Ibom Medical Journal","4","10.61386/imj.v19i1.908","https://consensus.app/papers/acute-toxicity-and-effects-of-of-solanum-macrocarpon-leaf-u-ai/8294c427130b56139b68ff6dd6949c78/"
